第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
?s[area_id]=130,2016年,04月,1,2016/04/13,/?s[area_id]=130,3,2,201604
?s[category_id]=122&s[license]=City+of+Kobe.+All+rights+reserved,2016年,04月,1,2016/04/13,/?s[category_id]=122&s[license]=City+of+Kobe.+All+rights+reserved,1,1,201604
?s[license]=CC+BY+2.1+JP.+ESRIジャパン株式会社,2016年,04月,1,2016/04/13,/?s[license]=CC+BY+2.1+JP.+ESRIジャパン株式会社,1,1,201604
?s[license]=Copyright+©+Sketch+Inc.+2016+ALL+RIGHTS+RESERVED.,2016年,04月,1,2016/04/13,/?s[license]=Copyright+©+Sketch+Inc.+2016+ALL+RIGHTS+RESERVED.,1,1,201604
?sort=released,2016年,04月,1,2016/04/13,/?sort=released,1,1,201604
?utf8=✓&s[keyword]=5374&search=検索,2016年,04月,1,2016/04/13,/?utf8=✓&s[keyword]=5374&search=検索,1,1,201604
about,2016年,04月,1,2016/04/13,/about/,5,5,201604
activity,2016年,04月,1,2016/04/13,/activity/,5,5,201604
admin,2016年,04月,1,2016/04/13,/admin,1,1,201604
anshin,2016年,04月,1,2016/04/13,/anshin/,4,2,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?groups=gr_0020,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?groups=gr_0020,2,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?license_id=CC-BY,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?license_id=CC-BY,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?license_id=CC-BY-ND,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?license_id=CC-BY-ND,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=HTML,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=HTML,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=PDF,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=PDF,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS,3,2,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=情報啓発,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=情報啓発,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,2016年,04月,1,2016/04/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0040,2016年,04月,1,2016/04/13,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0040,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2016年,04月,1,2016/04/13,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2,2,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100&groups=gr_0010,2016年,04月,1,2016/04/13,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100&groups=gr_0010,2,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2016年,04月,1,2016/04/13,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,1,1,201604
dataset-00000002,2016年,04月,1,2016/04/13,/dataset-00000002,3,1,201604
dataset-00000002,2016年,04月,1,2016/04/13,/dataset-00000002/,4,4,201604
dataset-00000003,2016年,04月,1,2016/04/13,/dataset-00000003,1,1,201604
dataset-00000004,2016年,04月,1,2016/04/13,/dataset-00000004,1,1,201604
dataset-00000007,2016年,04月,1,2016/04/13,/dataset-00000007,3,1,201604
dataset-00000007,2016年,04月,1,2016/04/13,/dataset-00000007/,4,4,201604
dataset-00000008,2016年,04月,1,2016/04/13,/dataset-00000008,6,5,201604
dataset-00000008,2016年,04月,1,2016/04/13,/dataset-00000008/,4,4,201604
dataset-00000009,2016年,04月,1,2016/04/13,/dataset-00000009,4,3,201604
dataset-00000010,2016年,04月,1,2016/04/13,/dataset-00000010,4,4,201604
dataset-00000010,2016年,04月,1,2016/04/13,/dataset-00000010/,2,2,201604
dataset-00000011,2016年,04月,1,2016/04/13,/dataset-00000011,28,16,201604
dataset-00000011,2016年,04月,1,2016/04/13,/dataset-00000011/,30,22,201604
dataset-00000012,2016年,04月,1,2016/04/13,/dataset-00000012,3,3,201604
dataset-00000012,2016年,04月,1,2016/04/13,/dataset-00000012/,4,2,201604
dataset-00000014,2016年,04月,1,2016/04/13,/dataset-00000014,1,1,201604
dataset-00000018,2016年,04月,1,2016/04/13,/dataset-00000018,2,1,201604
dataset-00000018,2016年,04月,1,2016/04/13,/dataset-00000018/,2,2,201604
dataset-00000020,2016年,04月,1,2016/04/13,/dataset-00000020,1,1,201604
dataset-00000020,2016年,04月,1,2016/04/13,/dataset-00000020/,2,2,201604
dataset-00000023,2016年,04月,1,2016/04/13,/dataset-00000023,1,1,201604
dataset-00000038,2016年,04月,1,2016/04/13,/dataset-00000038,1,1,201604
dataset-00000038,2016年,04月,1,2016/04/13,/dataset-00000038/,1,1,201604
dataset-00000043,2016年,04月,1,2016/04/13,/dataset-00000043,1,1,201604
dataset-00000047,2016年,04月,1,2016/04/13,/dataset-00000047,2,1,201604
dataset-00000047,2016年,04月,1,2016/04/13,/dataset-00000047/,2,2,201604
dataset-00000049,2016年,04月,1,2016/04/13,/dataset-00000049,1,1,201604
dataset-00000049,2016年,04月,1,2016/04/13,/dataset-00000049/,2,2,201604
dataset-00000050,2016年,04月,1,2016/04/13,/dataset-00000050,5,4,201604
dataset-00000050,2016年,04月,1,2016/04/13,/dataset-00000050/,6,5,201604
dataset-00000051,2016年,04月,1,2016/04/13,/dataset-00000051,1,1,201604
dataset-00000052,2016年,04月,1,2016/04/13,/dataset-00000052,1,1,201604
dataset-00000053,2016年,04月,1,2016/04/13,/dataset-00000053,6,5,201604
dataset-00000053,2016年,04月,1,2016/04/13,/dataset-00000053/,3,3,201604
dataset-00000054,2016年,04月,1,2016/04/13,/dataset-00000054,15,14,201604
dataset-00000054,2016年,04月,1,2016/04/13,/dataset-00000054/,18,14,201604
ea98c354-262b-4cff-a061-477b74f43bcc,2016年,04月,1,2016/04/13,/ea98c354-262b-4cff-a061-477b74f43bcc,1,1,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,2016年,04月,1,2016/04/13,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,2,1,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0090,2016年,04月,1,2016/04/13,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0090,2,2,201604
gr_0010,2016年,04月,1,2016/04/13,/gr_0010,40,27,201604
gr_0010?q=&sort=title_string+asc,2016年,04月,1,2016/04/13,/gr_0010?q=&sort=title_string+asc,1,1,201604
gr_0020,2016年,04月,1,2016/04/13,/gr_0020,35,17,201604
gr_0020?page=2,2016年,04月,1,2016/04/13,/gr_0020?page=2,2,2,201604
gr_0030,2016年,04月,1,2016/04/13,/gr_0030,13,12,201604
gr_0040,2016年,04月,1,2016/04/13,/gr_0040,19,15,201604
gr_0050,2016年,04月,1,2016/04/13,/gr_0050,9,8,201604
gr_0060,2016年,04月,1,2016/04/13,/gr_0060,12,10,201604
gr_0070,2016年,04月,1,2016/04/13,/gr_0070,6,6,201604
gr_0080,2016年,04月,1,2016/04/13,/gr_0080,11,10,201604
groups,2016年,04月,1,2016/04/13,/groups/,2,2,201604
iryo,2016年,04月,1,2016/04/13,/iryo/,1,1,201604
jigyosha,2016年,04月,1,2016/04/13,/jigyosha/,1,1,201604
kanko,2016年,04月,1,2016/04/13,/kanko/,2,2,201604
kosodate,2016年,04月,1,2016/04/13,/kosodate/,1,1,201604
kotsu,2016年,04月,1,2016/04/13,/kotsu/,1,1,201604
kurashi,2016年,04月,1,2016/04/13,/kurashi/,2,2,201604
org_0010,2016年,04月,1,2016/04/13,/org_0010,1,1,201604
org_0160,2016年,04月,1,2016/04/13,/org_0160,1,1,201604
